Record ID,Record,Categories,Location > State,Website,contact,emailContact,about,services,phone,location,clients
8bd633a7-15e8-4a0f-bd06-94e27dfe5aea,Naturally Network,Community & Network,TX,https://www.naturallynetwork.org/,,,,,,"Austin, TX, United States of America ",
9a55f862-861e-4931-a33f-a881958935f7,Sansone Foods,Flavors & Ingredients,NY,https://www.sansonefoods.com/,,info@sansonefoods.com ,,,,"2133 Jericho Turnpike Garden City Park, NY 11040, NY, United States of America ",
9c788744-adf2-4f3f-a028-925f9e902b2e,National Co+op Grocers,Event & Trade show,MN,https://www.ncg.coop/convergence-exhibitor-information,,,,,,"Saint Paul, MN, United States of America ",
a557a8c8-f0b9-444e-b745-5f5fd4943052,Tarter Krinsky & Drogin,Legal services,NY,https://www.tarterkrinsky.com/,Maurizio Anglani ,manglani@tarterkrinsky.com ,,,,"New York, NY, United States of America ",
aaa4097d-5e44-4b89-bbd2-9fa7457e1980,Buck Agency,Branding & Packaging,NY,https://buck.co/,,newbiz.ny@buck.co ,,,,"New York City, NY, United States of America ",
ab80cdf7-4c2f-4fd1-8db8-3cdcb1c69774,The Angel Group,Investor,NY,https://www.wearetheangelgroup.com/,,hello@wearetheangelgroup.com ,,,,"New York City, NY, United States of America ",
ace8962e-87b4-425e-baac-f3e037dbbf85,Pizza Group,Equipment & Facility,TX,https://www.pizzagroup.com/en/,,,,,,"Houston, TX, United States of America ",
b24970e9-217e-4f4d-9653-11004135db54,UNFI,Retailer & Distributor,RI,https://www.unfi.com/,,,,,,"Providence, RI, United States of America ",
b9269341-090b-4ce5-84c1-e2f5fcbab853,Funaro & Co.,Accounting & Tax,NY,https://www.funaro.com/,,,,,,"New York City, NY, United States of America ",
d246ecba-3aaf-4572-bae7-13a98372e881,KeHe (Yearly Shows),Event & Trade show,IL,https://www.kehe.com/events/,,,,,,"Chicago, IL, United States of America ",
e40f9435-1933-4a3c-a8fa-9a6280213907,Winter Fancy Food Show,Event & Trade show,CA,https://www.specialtyfood.com/,,,,,,"San Diego, CA, United States of America ",
e73e524a-42cf-428e-b68c-874bd562dd60,Whole Foods (LEAP),Accelerator & Incubator,TX,https://www.preparedfoods.com/articles/130201-applications-open-for-whole-foods-market-2025-local-and-emerging-accelerator-program,,,,,,"Austin, TX, United States of America ",
ed33ac3f-3ca1-4906-b2fc-08f83465ecd8,Independent Hunter,Sales & Broker,NY,https://www.independenthunter.com,,,,,,"New York City, NY, United States of America ",
efa20673-fd90-4804-b29c-471f511839c5,Stanislaus,Flavors & Ingredients,CA,https://stanislaus.com/,Tom Cortopassi ,,,,,"1202 D Street, Modesto, CA 95354, CA, United States of America ",
f09447e9-0e72-4a71-92a8-371136e20432,Green Spoon,Sales & Broker,CO,https://www.greenspoonsales.com/,,info@greenspoonsales.com ,,,,"Boulder, CO, United States of America ",
f276b647-b3fc-4ef3-89d6-5609ab9b4a22,Buttermilk Creative,Branding & Packaging,FL,https://www.buttermilk.com/,,https://www.buttermilk.com/ ,,,,"Miami, FL, United States of America ",
f37e5d5b-ba55-4911-99dc-e090db49437f,Expo West,Event & Trade show,CA,https://www.expowest.com/en/home.html,,,,,,"Anaheim, CA, United States of America ",
ff6e40b4-ffbd-4d12-93c2-0c55b00144d9,VMG Partners,Investor,CA,https://www.vmgpartners.com/,,,,,,"San Francisco, CA, United States of America ",
